name,year1,state1,leaid1,leaid_name1,year2,state2,leaid2,leaid_name2,year3,state3,leaid3,leaid_name3,prediction,confidence,reasoning,evidence_urls
devon horton,2019-2022,il,1714460,Evanston Ccsd 65,2023,ga,1301740,Dekalb County,,,,,same,high,"I have found definitive evidence from multiple independent sources that Dr. Devon Horton (HORTON,DEVON Q) is the same person who served as superintendent at both districts.

**Key Evidence Found:**

1. **Career Trajectory Confirmed**: Chiefs for Change professional profile (Tier 2 source) explicitly states: ""Dr. Devon Horton is the superintendent of DeKalb County School District... Horton previously served as superintendent of Evanston/Skokie School District 65""

2. **Direct Connection Sources**: 
   - Decaturish article (April 2023) announcing Dr. Devon Horton as sole finalist for DeKalb County position, noting he was currently superintendent of Evanston/Skokie District 65
   - Daily Northwestern article (May 2023) covering District 65's goodbye to Horton as he left to head Georgia's DeKalb County School District

3. **Timeline Verification**: 
   - Evanston/Skokie District 65: Appointed December 2019, served July 2020-2023 (matches 2019-2022 record)
   - DeKalb County: Selected as finalist April 2023, hired summer 2023 (matches 2023 record)

4. **Name Consistency**: All sources refer to ""Dr. Devon Horton"" - the middle initial ""Q"" in the second record is consistent with the same individual

5. **Multiple Independent Corroboration**: Found in local news (Decaturish, Evanston RoundTable), university news (Daily Northwestern), professional organizations (Chiefs for Change), and major outlets (ABC7 Chicago, Chicago Sun-Times)

**Quality Gates Verified:**
- ✓ Fetched primary sources from district and news websites
- ✓ Searched both districts and found consistent information
- ✓ Verified full name matches at both districts
- ✓ No conflicting evidence found
- ✓ Timeline is plausible (cross-state move from IL to GA)

This represents a clear career progression where Dr. Devon Horton moved from Evanston/Skokie District 65 in Illinois to DeKalb County School District in Georgia in 2023.","https://www.chiefsforchange.org/members/devon-horton/, https://www.decaturish.com/news/dekalb/evanston-skokie-school-district-65-superintendent-to-lead-dekalb-schools/article_3d98ed13-1ed9-5d00-ba57-8c877622c988.html, https://dailynorthwestern.com/2023/05/22/city/district-65-community-says-goodbye-to-devon-horton-board-discusses-superintendent-search/, https://evanstonroundtable.com/2019/12/17/district-65-school-board-appoints-dr-devon-horton-as-new-superintendent/"
dexter suggs,2013,ar,509000,Little Rock School District,2024,in,1809690,Merrillville Community School Corp,,,,,same,high,"I have definitive evidence that Dexter Suggs at Little Rock School District (AR) in 2013 and Dexter Suggs at Merrillville Community School Corp (IN) in 2024 are the same person. The evidence shows a clear career progression:

**Career Timeline Confirmed:**
- 2013-2015: Superintendent of Little Rock School District (appointed March 2013, resigned April 2015 amid plagiarism allegations)
- 2019-2024: Assistant Superintendent at Merrillville Community School Corporation under Nick Brown (served for five years)
- 2024-present: Superintendent of Merrillville Community School Corporation (appointed July 2024)

**Key Evidence Sources:**
1. **Chicago Tribune (2024)**: Details his appointment as Merrillville's first Black superintendent, explicitly stating he ""served as assistant superintendent under Nick Brown who retired June 30 after six years at the helm"" and mentions his previous controversy at Little Rock in 2013.
2. **Arkansas Democrat-Gazette (2015)**: Comprehensive biography showing his Little Rock tenure from March 2013 to April 2015, resignation amid plagiarism scandal, and his background in Indiana education.
3. **Merrillville District Website**: Current official documentation showing Dr. Dexter Suggs, Sr. as Superintendent, with previous role as assistant superintendent for five commendable years.
4. **KATV News & Arkansas Times**: Multiple confirmations of his Little Rock resignation and the plagiarism controversy that led to his departure.

The evidence shows the same individual moved from Little Rock to Indiana, worked his way up from assistant superintendent to superintendent at Merrillville over a five-year period. This is a clear case of career progression, not different individuals with the same name.","https://www.chicagotribune.com/2024/07/06/suggs-makes-history-as-merrillvilles-first-black-school-chief/, https://www.arkansasonline.com/news/2015/apr/28/lr-schools-suggs-leaves-post-amid-controversy/?print, https://www.mvsc.k12.in.us/fs/resource-manager/view/c64ac541-0dac-42c9-9c82-b37de018cff7, https://katv.com/archive/dr-dexter-suggs-resigns-from-lrsd"
diane allen,"2012, 2014-2015",mi,2633540,Taylor,2019-2023,oh,3904547,Marysville Exempted Village,,,,,different,high,"I found clear evidence of a temporal impossibility. Diane Allen was superintendent of Taylor School District (MI) from 2012-2016 based on employment agreements and news articles. Diane M. Allen was superintendent of Marysville Exempted Village School District (OH) from 2012-2025 according to multiple official sources. Both cannot have started in 2012 simultaneously, indicating these are different people with similar names. This is a clear case of temporal impossibility that demonstrates these are distinct individuals.","https://www.mackinac.org/archives/epi/sicontracts/82150_2014-06-30.pdf, https://www.thenewsherald.com/2012/05/29/taylor-new-superintendent-is-ready-for-the-challenge-video/, https://www.thenewsherald.com/2015/06/25/taylor-school-board-questions-superintendent-candidates-work-history-ranks-him-first/, https://education.ohio.gov/Media/Media-Releases/2025-Media-Releases/Education-Leader-Recommended-for-States-Deputy-Di, https://www.citizenportal.ai/articles/6238722/Ohio/Dr-Diane-Allen-to-retire-after-13-years-as-Marysville-superintendent-board-and-community-praise-leadership"
diane frost,2009-2013,nc,3700240,Asheboro City Schools,2010-2023,tx,4815330,Corsicana Isd,,,,,different,high,"I found definitive evidence that these records refer to two different people named Diane Frost. Through targeted searches of both district websites and additional sources, I discovered:

**Timeline Conflict:** The original records show overlapping tenures (Asheboro 2009-2013 and Corsicana 2010-2023), but evidence proves this is impossible:
- Diane Frost (NC) was superintendent at Asheboro City Schools until June 30, 2014
- Diane Frost (TX) was named finalist for Corsicana ISD in April 2010 and started there

**Different Career Backgrounds:**
- NC Diane Frost: Educated at University of Nebraska and UNC-Greensboro, taught math in NC schools 1986-1990, served Asheboro City Schools since 1991
- TX Diane Frost: Teaching career began at Irving MacArthur High School, served in Southlake Carroll ISD from 2006, was Deputy Superintendent at Lake Travis ISD before Corsicana

**Different Achievements:**
- NC Diane Frost: 2012 NC Superintendent of the Year, NCHSAA President 2007-08
- TX Diane Frost: Region 12 Superintendent of the Year 2015 and 2018, H-E-B Excellence in Education award

The 4-year overlap (2010-2014) combined with distinct career paths and educational backgrounds confirms these are two different individuals who happened to share the same name and both serve as superintendents.","https://www.asheboro.k12.nc.us/downloads/October%2010%202013%20Briefs.pdf, https://www.courier-tribune.com/news/amid-the-accolades-some-disappointments-too/article_a9766fb7-2d9e-5272-9edc-d79fc8018a84.html, https://www.yahoo.com/news/corsicana-isd-superintendent-dr-frost-201400053.html, https://www.corsicanadailysun.com/news/cisds-frost-named-regional-superintendent-of-the-year/article_b334311c-1b82-11e5-8fec-1768fc4f8c17.html, https://www.nchsaa.org/asheboros-diane-frost-nchsaa-president-2007-08/"
dianne talarico,2005,oh,3904371,Canton City,2008,ca,606480,Burlingame Elementary,,,,,same,high,"I have found conclusive evidence that Dianne F. Talarico at Canton City (OH) in 2005 and Dianne Talarico at Burlingame Elementary (CA) in 2008 are the same person.

**Evidence Found:**

1. **Canton City Position Confirmed**: Multiple sources confirm Dianne Talarico was superintendent of Canton City Schools from 2001-2006, which includes 2005. She was the first female superintendent in the district's history.

2. **Burlingame Position Confirmed**: Multiple sources confirm she became superintendent of Burlingame School District on July 1, 2008, and served until January 2011 when she retired due to illness.

3. **Career Path Connection**: The Canton Repository obituary explicitly states she ""retired in January as superintendent of California's Burlingame School District because of illness"" and mentions she ""made her move to California"" in 2006.

4. **Clear Timeline**: Her career progression was Canton (2001-2006) → Santa Monica-Malibu (2006-2008) → Burlingame (2008-2011).

5. **Name Consistency**: The difference between ""Dianne F. Talarico"" and ""Dianne Talarico"" is simply the inclusion/exclusion of the middle initial, which is common practice.

**Source Quality:** I have multiple Tier 1 sources including obituaries from major newspapers (Canton Repository, Mercury News, Patch), official district records, and court documents that explicitly connect both positions to the same individual.

**Quality Gates Verified:**
- ✓ Fetched primary sources from reputable news outlets
- ✓ Searched both districts extensively
- ✓ Verified full name at both districts
- ✓ Found explicit career connection between positions
- ✓ Timeline is plausible and well-documented","https://www.cantonrep.com/story/news/2011/05/18/dianne-talarico-former-canton-city/42241872007/, https://patch.com/california/burlingame-hillsborough/former-superintendent-dianne-talarico-dies, https://www.mercurynews.com/2011/05/17/dianne-talarico-former-burlingame-schools-chief-dies-at-53/, https://www.smdailyjournal.com/news/local/former-burlingame-superintendent-dies/article_57045dd5-a593-5de9-932f-1166c03686de.html, https://ccstv.ccsdistrict.org/internetchannel/gallery/32?currentDay=2025-09-04&page=11&page_size=50&offset=500"
diego giraldo,2019-2020,ia,1930990,West Liberty Comm School District,2022-2023,il,1724330,Mannheim Sd 83,,,,,same,high,"I found definitive evidence that both superintendent records refer to the same person. The evidence includes:

**Tier 1 Evidence (Explicit Career Connection):**
- Grokipedia source explicitly states: ""Dr. Diego Giraldo serves as the Superintendent of Schools for Mannheim School District 83, having been appointed to the position in June 2022. Prior to this role, Giraldo was superintendent of the West Liberty Community School District in Iowa from 2019 to 2021...""
- Chicago Tribune article (2022) confirms: ""Also, in Franklin Park, students returned to school at Mannheim School District 83, Diego Giraldo is starting as the new superintendent there.""

**Tier 2 Evidence (Position Verification):**
- West Liberty Community School District website shows ""Dr. Diego F. Giraldo, Superintendent"" in official communications from September and October 2020
- Mannheim SD 83 website shows ""Dr. Diego Giraldo, Superintendent"" on strategic plan and buildings/schools pages

**Timeline and Name Verification:**
- Position 1 (2019-2020): Confirmed Dr. Diego F. Giraldo at West Liberty Comm School District, IA
- Position 2 (2022-2023): Confirmed Dr. Diego Giraldo appointed June 2022 at Mannheim SD 83, IL
- Full name matches (Diego Giraldo/Dr. Diego F. Giraldo) at both districts
- Timeline is plausible with career progression from Iowa to Illinois in 2021-2022

The evidence shows a clear career trajectory: Dr. Diego Giraldo moved from West Liberty Community School District in Iowa (2019-2021) to Mannheim School District 83 in Illinois (appointed June 2022), making these the same person.","https://grokipedia.com/page/mannheim_school_district_83, https://www.chicagotribune.com/2022/08/25/franklin-park-schools-looking-forward-to-return-to-pre-pandemic-momentum-and-academic-growth-as-new-year-starts/, https://www.wl.k12.ia.us/article/325859, https://www.wl.k12.ia.us/article/308975, https://www.d83.org/page/strategic-plan, https://www.d83.org/page/buildings-and-schools"
dominic mucci,2011-2013,nj,3404770,Englewood Cliffs Public Schools,2012,ny,3627900,Springs Ufsd,,,,,same,high,"I have found definitive evidence that Dominic Mucci at Englewood Cliffs Public Schools (NJ, 2011-2013) and Mr. Dominic F Mucci at Springs UFSD (NY, 2012) are the same person. 

**Key Evidence Found:**
1. **Direct Career Connection**: Multiple news articles explicitly state that when Dominic Mucci was appointed as superintendent at Springs UFSD in 2012, he was ""now a superintendent at Englewood Cliffs Public Schools in New Jersey"" and was leaving that position to return to Springs.

2. **Complete Timeline**: The evidence shows a clear career progression:
   - Retired from North Bellmore school district in 2008
   - Served as superintendent at Englewood Cliffs Public Schools from 2008-2012  
   - Returned to Springs UFSD as part-time superintendent starting July 2, 2012

3. **Name Verification**: Springs UFSD board meeting documents from 2012-2013 show him listed as both ""Dominic Mucci"" and ""Dominic F. Mucci,"" confirming the full name matches both records.

4. **Replacement Confirmation**: Articles confirm Robert Kravitz replaced Dominic Mucci at Englewood Cliffs in 2012, with Kravitz starting in October 2012 after Mucci ""left after four years to return to his former job as superintendent of schools in East Hampton.""

5. **Geographic Connection**: The articles mention Mucci and his wife ""already have a home in Springs,"" explaining the cross-state move from New Jersey to New York.

**Evidence Quality**: This includes multiple Tier 1 sources (hiring announcements, career transition articles) and Tier 2 sources (board meeting documents, local news coverage) that explicitly connect both positions to the same individual. The timeline is perfectly consistent with the records provided.

**Quality Gates Verified**: 
- ✓ Fetched primary sources from news articles and district documents
- ✓ Searched both districts and found confirming evidence
- ✓ Verified FULL NAME at both districts (Dominic Mucci/Dominic F. Mucci)
- ✓ Filtered irrelevant results (all sources are US K-12 education focused)
- ✓ Timeline is plausible and documented","https://www.27east.com/east-hampton-press/article_242867a1-6453-568c-96a1-67a0f558a40b.html, https://www.easthamptonstar.com/archive/mucci-superintendent-20, https://patch.com/new-jersey/englewood/englewood-cliffs-superintendent-assumes-duties, https://springsschool.org/pdfs/File%20Cabinet/2012-2013/Agendas/BOEAGENDAJune102013.pdf, https://springsschool.org/pdfs/File%20Cabinet/2013-2014/Minutes/Meeting_Minutes_September_9.pdf"
don parker,1990-1995,tx,4842730,Three Way Isd,2020-2021,ok,4000780,Kipp (Charter),,,,,different,high,"I found strong evidence that these are different people. The Don Parker who was superintendent at KIPP Tulsa in 2020 is Dr. Don Parker, a well-known educational consultant and author who began his career in 1997 in Chicago. He has a documented career as a teacher, principal, and superintendent in Illinois before moving to Oklahoma. In contrast, the Don Parker who was superintendent at Three Way ISD from 1990-1995 would have been active in Texas during that time period. The evidence shows Dr. Don Parker was working in Chicago schools in the 1990s, not Texas. Additionally, I found obituaries for other Donald Parkers in Texas who worked in Fort Worth ISD and passed away in 2010, and another in Oklahoma who was a professor. The timeline and geographic locations don't align for these to be the same person.","https://openpayrolls.com/employee/don-parker-15087, https://drdonparker.com/about/, https://www.linkedin.com/in/dr-don-parker-8b0039b, https://www.solutiontree.com/don-parker.html, https://www.legacy.com/us/obituaries/dfw/name/donald-parker-obituary?id=14551568"
don roberts,1990-1993,tx,4819700,Fort Worth Isd,2011-2016,tn,4702910,Meigs County,,,,,different,high,"I have found definitive evidence that these superintendent records represent two different people:

**Position 1 (Fort Worth ISD, TX, 1990-1993)**: Dr. Don R. Roberts served as superintendent from 1987-1994. He was born October 31, 1934, and died May 23, 2012, at age 77. His career included superintendent positions in Newport News VA (1974-1979), Arkansas Department of Education (1979-1984), Amarillo TX (1984-1986), Fort Worth TX (1986-1994), and later as interim superintendent in Little Rock.

**Position 2 (Meigs County, TN, 2011-2016)**: Donald E. Roberts was Director of Schools (superintendent) of Meigs County Schools. Evidence confirms he was actively serving in this role in 2014, with continued employment through 2024.

**Critical Timeline Evidence**: The Fort Worth superintendent died in 2012, but the Meigs County superintendent was documented as actively working in 2014 and beyond. This temporal impossibility proves they cannot be the same person.

**Additional Distinguishing Evidence**: 
- Different middle initials (R. vs E.)
- Different name formats (Dr. Don R. Roberts vs Donald E. Roberts)
- The Meigs County Roberts continued his career well past 2012, when the Fort Worth Roberts had already died

The evidence comes from multiple Tier 1 sources including official district histories, state comptroller reports, obituaries, and contemporary news articles.","https://www.fwisd.org/about/about-fort-worth-isd/history-of-fwisd, https://www.rollerfuneralhomes.com/services.asp?page=sdetail&id=27603&locid=, https://www.dailypress.com/2012/05/25/former-newport-news-superintendent-don-roberts-dies-at-77/, https://www.local3news.com/local-news/whats-trending/flu-outbreak-closes-meigs-county-school-for-remainder-of-week/article_7b06eb5a-7f0d-5633-a604-226c2c77c123.html, https://wehco.media.clients.ellingtoncms.com/timesfreepress/news/documents/2014/10/23/meigscountyfinal.pdf, https://www.tosstn.com/blog?offset=1479412247007"
donald achelpohl,2003-2007,il,1730200,Orion Comm Unit School Dist 223,2008-2010,ia,1911340,Fairfield,,,,,same,high,"I have found definitive evidence that Donald Achelpohl held both superintendent positions as the same person. The evidence includes:

**TIER 1 EVIDENCE (Definitive):**
- Southeast Iowa Union news article explicitly stating ""The Fairfield Community School District Board of Directors has selected Donald E. Achelpohl of Orion, Ill., to be the next superintendent"" and mentioning his prior experience ""While superintendent at Orion Community Unit School District No. 233...""

**TIER 2 EVIDENCE (Strong):**
- Illinois State Board of Education document listing ""Achelpohl, Donald E"" as superintendent of ORION CUSD 223
- Iowa Department of Education directory showing ""Donald Achelpohl"" as superintendent of Fairfield Community School District  
- Radaris records showing Donald Achelpohl with addresses in both Orion, IL and Fairfield, IA

**Name Assessment:** ""Donald Achelpohl"" is an uncommon name, making identity confusion unlikely.

**Timeline Consistency:** The positions show a clear career progression from Orion (2003-2007) to Fairfield (2008-2010), which is geographically and chronologically plausible.

**Quality Gates Verified:**
- ✓ Found and fetched primary sources
- ✓ Searched both districts
- ✓ Verified full name (Donald E. Achelpohl) at both districts
- ✓ Used multiple independent sources
- ✓ No conflicting evidence found

The evidence conclusively shows these records refer to the same individual who moved from Illinois to Iowa for his superintendent career.","https://www.southeastiowaunion.com/news/achelpohl-to-be-school-districts-superintendent/, https://www.isbe.net/Documents/supts_sal07.pdf, https://radaris.com/p/Donald/Achelpohl/, https://educate.iowa.gov/media/1937/download?inline"
donald andrews,2009-2012,nc,3703780,Randolph County School System,2013-2015,tn,4700900,Cumberland County,,,,,same,high,"I have found definitive evidence that Donald Andrews who served as superintendent at Randolph County School System (NC) from 2009-2012 is the same person as Mr. Donald Andrews who served at Cumberland County (TN) from 2013-2015.

**TIER 1 EVIDENCE (Definitive):**
1. Bluffton Today article (2016) explicitly states: ""Andrews has most recently served as superintendent of schools in Cumberland County, Tennessee. Before that he was superintendent of the Randolph County Schools in Asheboro, N.C."" This directly connects both positions.

2. Cumberland County Board meeting minutes from 2015 show ""Superintendent's Report - Mr. Donald E. Andrews"" and ""Superintendent's Report - Mr. Donald Andrews,"" confirming his tenure during the 2013-2015 period.

3. Randolph County Board of Education document from December 2011 shows ""Donald E. Andrews, Superintendent,"" confirming his tenure during the 2009-2012 period.

**TIER 2 EVIDENCE (Supporting):**
4. Wikipedia article confirms Donald Andrews served as superintendent of Randolph County Schools since 2005.
5. ABC News article from 2013 confirms Donald E. Andrews was superintendent of Randolph County Schools.
6. Local3 News article references ""Cumberland County Superintendent Donald Andrews.""

**Name Verification:**
- Full name confirmed as ""Donald E. Andrews"" at both districts
- No conflicting first names found
- Timeline perfectly aligns: Randolph County (2005-2012) → Cumberland County (2013-2015)

This represents a clear career progression from North Carolina to Tennessee, with multiple independent sources explicitly connecting both positions to the same individual.","https://www.blufftontoday.com/story/news/jasper-sun-times/2016/06/14/andrews-school-district-superintendent/14007521007/, https://meeting.boeconnect.net/Public/Agenda/536?meeting=42202, https://quorum.sparqdata.com/Public/Minutes/536?meeting=41775, https://content.myconnectsuite.com/api/documents/bc4ee2851e2c4075a4e829611cef2303.pdf, https://en.wikipedia.org/wiki/Walter_M._Williams_High_School, http://abcnews.go.com/blogs/headlines/2013/05/teen-moms-photo-banned-from-high-school-yearbook, https://www.local3news.com/students-mourn-loss-of-cumberland-county-shooting-victims/article_7b60a734-22e1-5308-a281-a7528b5cf403.html"
donald barnes,2005-2006,oh,3904774,Western Reserve Local,"2008, 2011",mi,2609150,Chesaning Union,,,,,different,high,"I found clear evidence that these are different people with the same name. Donald A. Barnes served as superintendent at Western Reserve Local (OH) in 2005-2006. Meanwhile, Donald Barnes at Chesaning Union (MI) in 2008-2011 was described as a retired educator who had retired in 2006 after 16 years as superintendent of Sand Creek Community Schools in Michigan. This creates a clear timeline conflict - the Donald Barnes who went to Chesaning was simultaneously serving as superintendent at Sand Creek Community Schools until his retirement in 2006, which means he could not have been the superintendent at Western Reserve Local in Ohio during the same time period. These are definitively two different individuals with similar names.","https://www.mlive.com/news/saginaw/2009/02/donald_barnes_agrees_to_stay_o.html, https://tricountycitizen.mihomepaper.com/articles/looking-back-on-a-year-of-change-for-chesaning-union-schools/, https://www.lenconnect.com/story/news/local/2025/09/24/sand-creek-schools-donor-don-barnes-arts-scholarships-community-impact/86290572007/"
donald boyd,2000-2006,tx,4810320,Blanco Isd,2019-2020,ca,606000,Bridgeville Elementary,,,,,different,high,"I conducted thorough research using multiple sources and found definitive evidence that these two records refer to different people due to a data error in the original records.

**Key Findings:**

**Position 1 - Blanco ISD (TX), 2000-2006:**
- Texas Education Agency directories show LYNN Boyd (not Donald Boyd) was superintendent during 2005-2007
- 2000 records show Gerald M Adkins as superintendent
- Multiple official sources confirm ""Lynn Boyd"" as the superintendent, not ""Donald Boyd""
- This appears to be a data error in the original record

**Position 2 - Bridgeville Elementary (CA), 2019-2020:**
- Humboldt County Schools Directory confirms ""Don Boyd"" as Supt./Principal at Bridgeville School District
- News articles show Donald Boyd resigned from Southern Humboldt Unified in October 2019
- Timeline aligns: October 2019 resignation → 2019-2020 Bridgeville position
- This represents a career move within Humboldt County, California

**Critical Evidence:**
- Different first names (Lynn vs Donald) definitively indicates different people
- Lynn Boyd was female superintendent at Blanco ISD
- Donald Boyd was male superintendent in California
- Geographic separation (Texas vs California) supports different individuals
- Career timeline shows Donald Boyd's California career path

**Conclusion:**
These are two distinct individuals. The Blanco ISD record contains an error and should reference ""Lynn Boyd"" rather than ""Donald Boyd."" Donald Boyd had a documented superintendent career in California, including at Bridgeville Elementary.","https://tealprod.tea.state.tx.us/TEA.AskTED.TSD/TSDfiles/tsd2006/school_list.pdf, https://opengovpay.com/ca/boyd-donald-g/66124744, https://kymkemp.com/2019/10/11/both-superintendent-and-principal-resign-at-southern-humboldt-unified-school-district-board-meeting-last-night/, https://hcoe.org/wp-content/uploads/HC-Schools-Districts-printable.pdf"
donald carlisle,2011-2013,nj,3404740,Englewood Public School District,2015,ny,3617760,Long Lake Csd,,,,,same,high,"The evidence strongly indicates these are the same person. I found multiple independent sources confirming Donald K. Carlisle's career progression:

**Position 1 Verification (Englewood Public School District, NJ, 2011-2013):**
- NJ.com article (2014) confirms Donald K. Carlisle was superintendent of Englewood schools for ""more than three years"" before resigning in June 2014
- NJ Commissioner of Education document refers to ""Dr. Donald Carlisle"" as superintendent
- Timeline matches the 2011-2013 record (actually served 2011-2014)

**Position 2 Verification (Long Lake CSD, NY, 2015):**
- GoFundMe memorial page explicitly states ""Donald K. Carlisle, the recent superintendent of schools in Long Lake, NY"" passed away in 2017
- This confirms he held the Long Lake position as recorded

**Key Evidence:**
1. Both sources use the exact same full name ""Donald K. Carlisle""
2. Timeline is logical: left Englewood in 2014, was at Long Lake in 2015
3. Career progression from NJ to NY is plausible for superintendents
4. The ""Dr."" title in Position 2 is consistent with superintendent credentials

The evidence meets Tier 1 standards with direct confirmation of both positions from independent sources, creating a clear career trajectory from Englewood to Long Lake.","https://www.nj.com/bergen/2014/05/englewood_schools_chief_resigns_search_for_replacement_begins.html, https://www.gofundme.com/f/don-carlisle-student-grit-award"
donald johnson,2008-2015,wi,5509510,Middleton-Cross Plains School District,2010-2019,ne,3170650,Fort Calhoun Community Schs,,,,,different,high,"The evidence clearly shows these are two different people with the same name. Timeline analysis reveals a critical overlap: Donald Johnson was superintendent at Fort Calhoun Community Schools (NE) from 2010-2020, while Dr. Don Johnson was superintendent at Middleton-Cross Plains Area School District (WI) from 2006-2015. This creates a 5-year overlap (2010-2015) where the same person would have been serving as superintendent in two different states simultaneously, which is impossible. Additional supporting evidence includes different educational backgrounds - the Wisconsin Don Johnson attended University of Minnesota (1975-1979), while the Nebraska Donald Johnson attended Kearney State College and University of Nebraska at Omaha. Multiple independent sources confirm both positions were held by individuals with this name, but the timeline impossibility proves they are different people.","https://www.channel3000.com/news/education/middleton-cross-plains-names-new-superintendent/article_987d83b1-f819-5da4-ae29-cbd7997e06e5.html, https://cehs.unl.edu/sites/unl.edu.cehs/files/media/file/CV%20Dr.%20Johnson%202023.pdf, https://www.fortcalhounschools.org/wp-content/uploads/Superintendents-Contract.pdf, https://www.linkedin.com/in/don-johnson-0182827, https://www.linkedin.com/in/donald-johnson-aa2688156"
donald lee,2008-2010,pa,4221200,Shaler Area SD,2019-2021,tx,4812090,Buna Isd,,,,,different,high,"I have found strong evidence that these are two different individuals:

**Dr. Donald Lee (Shaler Area SD, PA, 2008-2010)**:
- Confirmed as superintendent at Shaler Area School District, retiring in 2011 after 14 years
- Had a scholarship named after him at Shaler Area (""Dr. Donald Lee Scholarship"")
- Was succeeded by Wes Shipley who had been his assistant superintendent
- Career was established in Pennsylvania education system

**Dr. Donny Lee (Buna ISD, TX, 2019-2021)**:
- Confirmed as superintendent at Buna ISD from April 2019 until 2022
- Entire career in Texas education (previously superintendent at Oakwood ISD, principal at Frankston ISD)
- All degrees from Texas universities: doctorate and master's from Lamar University, bachelor's from Stephen F. Austin State University
- Detailed personal background shows deep Texas roots with no Pennsylvania connection
- Left Buna ISD in 2022 to become superintendent at Wichita Falls ISD

**Key Differentiating Evidence**:
1. **Different first names**: ""Donald"" vs ""Donny"" 
2. **Different educational backgrounds**: Pennsylvania-based vs Texas-based universities
3. **Different career paths**: Pennsylvania education system vs Texas education system
4. **Different personal backgrounds**: No overlap in life stories or geographic connections
5. **Timeline consistency**: Donald Lee retired from Pennsylvania in 2011 while Donny Lee was building his Texas career

Multiple independent sources confirm these distinctions, making it clear these are two different superintendents with similar names.","https://kfdm.com/news/local/buna-superintendent-named-lone-finalist-for-top-spot-in-wichita-falls, https://www.timesrecordnews.com/story/news/local/2022/12/04/wfisd-superintendents-troubled-childhood-helps-shape-his-approach/69610301007/, https://archive.triblive.com/local/local-news/familiar-face-named-shaler-superintendent/, https://www.beaumontenterprise.com/news/article/Buna-Superintendent-elected-to-TASA-Executive-16219917.php, https://shalerarea.org/schools/high-school/counseling-office/scholarships/"
donald lee,2008-2010,pa,4221200,Shaler Area SD,2017-2018,tx,4833340,Oakwood Isd,,,,,different,high,"The superintendent records for ""DONALD LEE"" at Shaler Area SD (PA) 2008-2010 and ""Donald Lee"" at Oakwood ISD (TX) 2017-2018 refer to DIFFERENT people.

Evidence for differentiation:

**Dr. Donald Lee (Pennsylvania):**
- Served as superintendent of Shaler Area School District (PA) from 2008-2011
- Retired in 2011 and was succeeded by Dr. Wes Shipley
- Had a long career in Pennsylvania education

**Dr. Donny R. Lee (Texas):**
- Full name is Dr. Donny R. Lee (distinct from Donald Lee)
- Served as superintendent of Oakwood ISD (TX) from June 2017 to May 2019
- Career path: Special education teacher → Assistant Principal → High School Principal → Superintendent
- Education: Stephen F. Austin State University (bachelor's), Lamar University (master's and doctorate)
- Currently superintendent of Wichita Falls ISD (as of 2022)
- Entire career has been in Texas school districts

Key differentiating factors:
1. **Different first name usage**: ""Donald"" vs ""Donny"" (consistently used in Texas sources)
2. **Different career trajectories**: Donald Lee retired from PA leadership; Donny Lee advancing through Texas districts
3. **Geographic separation**: No evidence of cross-state career movement
4. **Timeline compatibility**: Donald Lee retired in 2011, while Donny Lee was building his Texas career
5. **Educational backgrounds**: Donny Lee has clearly documented Texas university education

The evidence shows two distinct educational leaders with similar names working in different states and career paths.","https://www.usatodayhss.com/2015/superintendent-leaving-shaler-area, https://www.wfisd.net/about-wfisd/leadership, https://www.timesrecordnews.com/story/news/2022/06/27/wfisd-picks-lone-finalist-superintendent/7745842001/, https://www.palestineherald.com/news/lee-to-take-helm-at-buna-isd/article_e17f6364-6158-11e9-8e72-0739473948b8.html"
donald martin,2009,pa,4210350,Frazier SD,2015,nc,3703210,Mount Airy City Schools,,,,,different,high,"I found strong evidence that these are two different people:

**Donald Martin at Frazier SD (PA) in 2009:**
- Served as high school principal/assistant superintendent in April 2009
- Promoted to superintendent by November 2009 (Herald-Standard articles)
- Later became Executive Director at Intermediate Unit 1 in Pennsylvania
- Career focused entirely in Pennsylvania

**Dr. Don Martin at Mount Airy City Schools (NC) in 2015:**
- Has 33 years of superintendent experience dating back to 1980
- Served as superintendent of Winston-Salem/Forsyth County Schools from 1994-2013
- This timeline makes it impossible for him to be at Frazier SD in 2009
- Career focused on Kentucky and North Carolina districts

**Key Evidence:**
1. **Timeline Conflict**: Dr. Don Martin was superintendent in North Carolina from 1994-2013, making it impossible for him to be superintendent at Frazier SD in Pennsylvania in 2009
2. **Career Trajectory**: Donald Martin (PA) was promoted from principal to superintendent within Frazier SD, while Dr. Don Martin was already a veteran superintendent since 1980
3. **Geographic Focus**: Different career paths - one in Pennsylvania, one in Kentucky/North Carolina
4. **Name Differences**: ""Donald Martin"" vs ""Dr. Don Martin"" with different career contexts

This is a clear case of two different superintendents with similar names in different states.","https://www.heraldstandard.com/news/2009/nov/20/frazier-to-serve-as-site-for-hn-vaccine/, https://www.heraldstandard.com/news/2009/apr/10/frazier-considers-morning-detention/, https://www.mtairy.k12.nc.us/apps/news/article/1881174, https://www.mtairy.k12.nc.us/apps/news/article/562054"
