"name_clean","leaid1","years1","state1","leaid_name1","name_raw1","leaid2","years2","state2","leaid_name2","name_raw2"
"andrew oberg","1300232","2017","ga","Georgia Cyber Academy","ANDREW OBERG","4214880","2020-2024","pa","McGuffey SD","ANDREW OBERG"
"andrew wise","2600101","2014-2015","mi","Macomb Academy","Andrew Wise","1708970","2021-2023","il","Center Cass Sd 66","Dr. Andrew Wise"
"angela johnson","2600123","2008, 2011-2012","mi","Casa Richard","Angela Johnson","632730","2018-2022","ca","Rio Dell Elementary","Angela Johnson"
"angela smith","3904788","2014-2023","oh","Madison Local","Angela M. Smith","4813170","2021-2022","tx","Castleberry Isd","Angela Smith"
"angelica ramsey","630990","2014-2018","ca","Pleasant Valley","Angelica Ramsey","4819700","2022-2023","tx","Fort Worth Isd","Angelica Ramsey"
"angelica ramsey","630990","2014-2018","ca","Pleasant Valley","Angelica Ramsey","4830570","2021","tx","Midland Isd","Angelica Ramsey"
"ann clark","901530","2007-2009","ct","Fairfield School District","ann e. clark","3702970","2014-2016","nc","Charlotte-Mecklenburg Schools","Ann Clark"
"ann gardner","4812150","2019-2020","tx","Burkeville Isd","Ann Gardner","509990","2023-2024","ar","Mount Ida School District","GARDNER, ANN"
"anthony cook","1305700","2003-2004","ga","Whitfield County","COOK, ANTHONY W.","1804260","2010, 2012","in","Hamilton Heights School Corp","Mr Anthony Cook"
"anthony jackson","5101920","2010","va","Henry County","Dr. Anthony D. Jackson","3700750","2021-2022","nc","Chatham County Schools","Anthony Jackson"
"anthony jackson","5101920","2010","va","Henry County","Dr. Anthony D. Jackson","3703270","2011-2014","nc","Nash County Public School","Anthony Jackson"
"anthony jackson","5101920","2010","va","Henry County","Dr. Anthony D. Jackson","3704650","2015-2020","nc","Vance County Schools","Anthony Jackson"
"anthony smith","628050","2008-2010","ca","Oakland Unified","Anthony Smith","1301230","2022-2023","ga","Clayton County","SMITH,ANTHONY W"
"anthony smith","628050","2008-2010","ca","Oakland Unified","Anthony Smith","3904408","2012-2022","oh","Winton Woods City","Anthony G. Smith"
"anthony smith","3904408","2012-2022","oh","Winton Woods City","Anthony G. Smith","1301230","2022-2023","ga","Clayton County","SMITH,ANTHONY W"
"antonio garcia","4839360","1992-1995","tx","Santa Rosa Isd","Antonio Garcia","635670","2018-2022","ca","Santa Maria Joint Union High","Antonio Garcia"
"aron borowiak","1811610","2020-2022","in","Union Co/Clg Corner Joint Sch Dist","Aron Borowiak","1703840","2022-2023","il","Antioch Ccsd 34","Mr. Aron Borowiak"
"arthur culver","4828110","1999-2001","tx","Longview Isd","Arthur Culver","1709420","2003-2010","il","Champaign Comm Unit Sch Dist 4","ARTHUR R CULVER "
"arthur culver","4828110","1999-2001","tx","Longview Isd","Arthur Culver","1713320","2011-2014, 2017-2023","il","East St Louis Sd 189","Mr. Arthur Culver"
"arveneda mcdonald","2601041","2014-2015","mi","Sarah J. Webber Media Arts Academy","Arveneda McDonald","1800037","2023-2024","in","Joshua Academy","Arveneda McDonald"
"attila weninger","1729280","2007-2009","il","Oak Park - River Forest Sd 200","Dr Attila J Weninger","5506120","2016-2018","wi","Hartford Uhs School District","Attila Weninger"
"attila weninger","1729280","2007-2009","il","Oak Park - River Forest Sd 200","Dr Attila J Weninger","5514490","2010-2014","wi","Stevens Point Area Public School District","Attila Weninger"
"barbara erwin","4807890","1994-1999","tx","Allen Isd","Barbara Erwin","1737170","2004-2006","il","St Charles C U School Dist 303","DR BARBARA F ERWIN "
"barbara thompson","1715180","2005-2014, 2017-2023","il","Fisher C U School District 1","BARBARA THOMPSON ","5510500","2008","wi","New Glarus School District","Barbara Thompson"
"barry green","1900022","2004","ia","Union Comm School District","Barry Green","1713170","2007-2009","il","East Moline Sd 37","Barry Green"
"barry green","1900022","2004","ia","Union Comm School District","Barry Green","1726610","2005-2006","il","Morris School District 54","BARRY C GREEN "
"barry simpson","4030390","2012-2021","ok","Tuskahoma","Barry Simpson","691011","2017-2022","ca","Inyo County Office Of Education","Barry Simpson"
"bernard josefsberg","3410860","2016","nj","Mount Arlington Public School District","Bernard Josefsberg","3620460","2022","ny","New Paltz Csd","BERNARD JOSEFSBERG"
"bernard taylor","2916400","2003-2006","mo","Kansas City 33","BERNARD TAYLOR","2616440","2008, 2011","mi","Grand Rapids","Bernard Taylor"
"bill morgan","2005550","2013-2014","ks","Dighton","Morgan, Bill","4821270","2024","tx","Gorman Isd","Bill Morgan"
"billy adams","4807620","1990-1992","tx","Alanreed Isd","Billy Adams","508640","2014, 2016-2024","ar","Lakeside School District (Chicot County)","ADAMS, BILLY"
"billy williams","4843110","2000-2004","tx","Trent Isd","Billy Williams","505470","2013-2014, 2016-2017","ar","Drew Central School District","WILLIAMS, BILLY  ."
"billy williams","4843110","2000-2004","tx","Trent Isd","Billy Williams","514400","2007-2012","ar","Woodlawn School District","WILLIAMS, BILLY R."
"blane mccann","5513800","2008-2011","wi","Shorewood School District","Blane Mccann","3178660","2012-2018","ne","Westside Community Schools","BLANE MCCANN"
"bob bush","628710","2008-2011","ca","Orcutt Union Elementary","Bob Bush","4027240","2012","ok","Seiling","Bob Bush"
"brad cox","4814490","2019-2024","tx","Coahoma Isd","Brad Cox","1725620","2021-2023","il","Mendota Ccsd 289","Mr. Brad Cox"
"brad morris","1740680","2006-2014, 2017-2023","il","North Wamac Sd 186","BRAD E MORRIS","2008130","2009-2014","ks","South Barber","Morris, Brad"
"brad wade","2010920","2009-2016","ks","Pretty Prairie","Wade, Brad","4033240","2022-2024","ok","Wyandotte","Brad Wade"
"brandon hubbard","2634920","2014-2015","mi","Vestaburg","Brandon Hubbard","4813920","2016-2024","tx","Chilton Isd","Brandon Hubbard"
"brandon robinson","5500750","2008-2022","wi","Unity School District","Brandon Robinson","4212390","2023-2024","pa","Jefferson-Morgan SD","BRANDON ROBINSON"
"brent wilson","4800055","1999-2024","tx","Life Charter-Oak Cliff","Thomas Wilson","1804320","2024","in","School City Of Hammond","Brent Wilson"
"brent wilson","4800055","1999-2024","tx","Life Charter-Oak Cliff","Thomas Wilson","1811100","2010, 2012, 2014-2021","in","M S D Steuben County","Dr Brent Wilson"
"brett nelson","607170","2021","ca","Camino Union Elementary","Brett Nelson","2004890","2021-2024","ks","Clay County","Brett Nelson"
"brian bailey","3624150","2018-2024","ny","Ravena-Coeymans-Selkirk Csd","Dr. Brian A Bailey","3904634","2022-2023","oh","Goshen Local","Brian A. Bailey"
"brian binggeli","1200150","2010-2011","fl","Brevard","BINGGELI, BRIAN","4835100","2015-2017","tx","Plano Isd","Brian Binggeli"
"brian cordel","2921940","2019-2022","mo","New Franklin R-I","BRIAN CORDEL","2009480","2024","ks","Marais Des Cygnes Valley","Brian Cordel"
"brian davis","2618420","2008, 2011-2012, 2014-2015","mi","Holland","Brian Davis","3904412","2016-2023","oh","Hillsboro City","Brian T. Davis"
"brian metcalf","2616410","2011-2012, 2014-2015","mi","Grand Ledge","Brian Metcalf","1800045","2018-2022","in","Charles A Tindley Accelerated Sch","Brian Metcalf"
"brian metcalf","2616410","2011-2012, 2014-2015","mi","Grand Ledge","Brian Metcalf","1800145","2018-2022","in","Tindley Genesis Academy","Brian Metcalf"
"brian metcalf","2616410","2011-2012, 2014-2015","mi","Grand Ledge","Brian Metcalf","1800148","2018-2022","in","Tindley Summit Academy","Brian Metcalf"
"brian osborne","3415330","2011-2013","nj","South Orange-Maplewood School District","Brian Osborne","3620490","2014-2018","ny","New Rochelle City Sd","Dr. Brian G Osborne"
"brian pekarek","2902970","2019-2020","mo","Albany R-Iii","BRIAN PEKAREK","2010470","2024","ks","Palco","Dr. Brian Pekarek"
"brian shumate","4108040","2013-2017","or","Medford SD 549C","Brian  Shumate","1300001","2019-2023","ga","Troup County","BRIAN SHUMATE"
"brian walker","4013830","2014-2024","ok","Harmony","Brian Walker","619650","2015-2018","ca","South Monterey County Joint Union High","Brian Walker"
"brian woods","4833120","2012-2022","tx","Northside Isd","Brian Woods","3904580","2022-2023","oh","Spencerville Local","Brian D. Woods"
"broadus davis","4204200","2008-2010, 2022-2024","pa","Bristol Borough SD","Broadus Davis","3405460","2011-2013, 2019","nj","Franklin Township School","Broadus Davis"
"bruce borchers","2926850","2011-2013","mo","Rockwood R-Vi","BRUCE BORCHERS","4703240","2013-2022","tn","Oak Ridge","Mr. Bruce Borchers"
"bruce brown","1727210","2003-2008","il","Mount Prospect School Dist 57","DR BRUCE R BROWN ","2633030","2008, 2011-2012","mi","Stockbridge","Bruce Brown"
"bruce brown","1727210","2003-2008","il","Mount Prospect School Dist 57","DR BRUCE R BROWN ","3905062","2006-2008","oh","Edon-Northwest Local","Bruce T. Brown"
"bruce brown","3905062","2006-2008","oh","Edon-Northwest Local","Bruce T. Brown","2633030","2008, 2011-2012","mi","Stockbridge","Bruce Brown"
"bruce douglas","900700","2007-2015","ct","Capitol Region Education Coun","bruce e. douglas","4006330","2024","ok","Cameron","Bruce Douglas"
"bruce douglas","900700","2007-2015","ct","Capitol Region Education Coun","bruce e. douglas","4014670","2015-2023","ok","Midway","Bruce Douglas"
"bruce johnson","2929340","2003-2013","mo","Stanberry R-Ii","BRUCE JOHNSON","3172000","2005-2006","ne","Homer Community Schools","BRUCE JOHNSON"
"bruce watson","3621840","2016-2017","ny","Onteora Csd","BRUCE WATSON","3405970","2017, 2019","nj","Glen Rock Public School District","Bruce Watson"
"bruce watson","3621840","2016-2017","ny","Onteora Csd","BRUCE WATSON","3414130","2022","nj","Rockaway Twp","Bruce Watson"
"bruce watson","3621840","2016-2017","ny","Onteora Csd","BRUCE WATSON","3416110","2023","nj","Tenafly Boro","Bruce Watson"
"bryan mcgraw","4217310","2010-2020","pa","School District","BRYAN MCGRAW","2916190","2023-2024","mo","Jefferson City","BRYAN MCGRAW"
"cafer cengiz","2600967","2011-2012","mi","Michigan Mathematics And Science Academy","Cafer Cengiz","1701410","2013-2014, 2017-2018","il","Horizon Science Acad-Mckinley Park","Mr. Cafer Cengiz"
"carl baker","4831110","1991","tx","Mobeetie Isd","Carl Baker","4006480","2012-2017, 2023-2024","ok","Canton","Carl Baker"
"carl hilling","1811490","2010","in","Triton School Corporation","Mr Carl Hilling","3904463","2014-2016","oh","Parma City","Carl H. Hilling"
"carlton jenkins","2630390","2011-2012","mi","Saginaw","Carlton Jenkins","5508520","2020-2022","wi","Madison Metropolitan School District","Carlton Jenkins"
"carol birks","902790","2018","ct","New Haven School District","ms. carol birks","4202280","2023-2024","pa","Allentown City SD","CAROL BIRKS"
"carol birks","902790","2018","ct","New Haven School District","ms. carol birks","4205860","2020","pa","Chester-Upland SD","CAROL BIRKS"
"carol hansen","1906810","2004-2007","ia","Central Clinton Comm School District","Carol Hansen","628140","2013-2019","ca","Ocean View","Carol Hansen"
"carol kelley","1729250","2014, 2017-2020","il","Oak Park Esd 97","Dr. Carol Kelley","3413410","2022-2024","nj","Princeton","Kelley, Carol"
"carole schmidt","2604830","2008","mi","Benton Harbor","Carole Schmidt","1810290","2012, 2014-2015","in","South Bend Community Sch Corp","Dr Carole Schmidt"
"carolyn koos","1711910","2007-2011","il","Deer Park Ccsd 82","Carolyn Koos","3401320","2012-2013","nj","Bedminster Township Public School","Carolyn Koos"
"carolyn mcgaughey","4836970","1990-1993","tx","Rice Cons Isd","Carolyn Mcgaughey","1921870","2004-2009","ia","Oskaloosa Comm School District","Carolyn McGaughey"
"cassandra schug","5515750","2011-2021","wi","Watertown Unified School District","Cassandra Schug","1705790","2022-2023","il","Belvidere Cusd 100","Dr. Cassandra J Schug"
"chad hall","4017580","2018-2024","ok","Lexington","Chad` Hall","2904980","2023-2024","mo","Bevier C-4","Chad Hall"
"charles baker","1742180","2009","il","Cusd 200","Dr. Charles Baker","3904517","2014-2022","oh","Zanesville City","Charles D. Baker"
"charles baker","4203360","2008-2013","pa","Bentworth SD","CHARLES BAKER","1742180","2009","il","Cusd 200","Dr. Charles Baker"
"charles baker","4203360","2008-2013","pa","Bentworth SD","CHARLES BAKER","3904517","2014-2022","oh","Zanesville City","Charles D. Baker"
"charles coleman","2600005","2008","mi","Battle Creek","Charles Coleman","1720580","2011-2014","il","Joliet Psd 86","Dr. Charles E Coleman"
"charles cudney","2921120","2003-2008","mo","Monett R-I","CHARLES CUDNEY","506930","2010-2013","ar","Greenland School District","CUDNEY, CHARLES J."
"charles dumas","1303720","1999","ga","Monroe County","DUMAS, CHARLES E.","2629120","2008, 2011-2012, 2014-2015","mi","Portland","Charles Dumas"
"charles edmonds","2006540","2009-2010","ks","Goddard","Edmonds, Charles S.","4702100","2011-2016","tn","Jefferson County","Dr. Charles Edmonds"
"charles garland","3704920","2014-2018","nc","Whiteville City Schools","Charles Garland","1302970","2019-2023","ga","Jasper County","Charles Garland"
"charles hanson","513950","2007-2009","ar","Weiner School District","HANSON, CHARLES","5514910","2020-2024","wi","Tomah Area School District","Charles Hanson"
"charles holloway","1302880","1999-2002","ga","Houston County","HOLLOWAY,CHARLES A.","4812510","2003-2010","tx","Callisburg Isd","Charles Holloway"
"charles holloway","1302880","1999-2002","ga","Houston County","HOLLOWAY,CHARLES A.","4842870","2011-2022","tx","Tioga Isd","Charles Holloway"
"charles howard","3904529","2007-2011","oh","Chesapeake Union Exempted Village","Charles S. Howard","510200","2018-2022","ar","Mountain View School District","HOWARD, CHARLES B."
"charles martin","608520","2008-2019","ca","Chowchilla Elementary","Charles Martin","4833010","2017","tx","North Lamar Isd","Charles Martin"
"charles martin","608520","2008-2019","ca","Chowchilla Elementary","Charles Martin","4842120","2010-2013","tx","Rivercrest Isd","Charles Martin"
"charles martin","1742960","2004-2006","il","Wolf Branch Sch Dist 113","CHARLES E MARTIN ","4833010","2017","tx","North Lamar Isd","Charles Martin"
"charles martin","1742960","2004-2006","il","Wolf Branch Sch Dist 113","CHARLES E MARTIN ","4842120","2010-2013","tx","Rivercrest Isd","Charles Martin"
"charles martin","1742960","2004-2006","il","Wolf Branch Sch Dist 113","CHARLES E MARTIN ","608520","2008-2019","ca","Chowchilla Elementary","Charles Martin"
"charles mcnulty","5505730","2008-2010","wi","Black Hawk School District","Charles Mcnulty","511850","2018-2023","ar","Pulaski Co. Spec. School Dist.","McNulty, Charles"
"charles murphy","3615510","2010-2024","ny","Island Trees Ufsd","Dr. Charles J Murphy","3904510","2021","oh","Willoughby-Eastlake City","Charles A. Murphy"
"charles sampson","3405610","2011-2017, 2019-2023","nj","Freehold Regional High School District","Charles Sampson","3618240","2024","ny","Mamaroneck Ufsd","CHARLES SAMPSON"
"charles wilson","1300630","2012-2023","ga","Bulloch County","CHARLES WILSON","3613950","2019","ny","Hastings-On-Hudson Ufsd","CHARLES WILSON"
"charles wilson","1300630","2012-2023","ga","Bulloch County","CHARLES WILSON","3629040","2015","ny","Tuckahoe Ufsd","Dr. Charles T Wilson"
"charlotte baker","4818210","1990-1994","tx","Edna Isd","Charlotte Baker","2911940","2003-2004","mo","Mid-Buchanan Co. R-V","CHARLOTTE BAKER"
"charlotte baker","4818210","1990-1994","tx","Edna Isd","Charlotte Baker","2913230","2005-2007","mo","Green City R-I","CHARLOTTE BAKER"
"charlotte baker","4818210","1990-1994","tx","Edna Isd","Charlotte Baker","2921060","2024","mo","Missouri City 56","CHARLOTTE BAKER"
"cheryl atkinson","3904426","2007-2010","oh","Lorain City","Cheryl L. Atkinson","1301740","2011-2012","ga","Dekalb County","Cheryl L. H. Atkinson"
"cheryl smith","4819280","2006-2009","tx","Flatonia Isd","Cheryl Smith","3404470","2012-2013","nj","Edgewater Park Township","Cheryl Smith"
"chris ballenger","4015750","2012-2016","ok","Jennings","Chris Ballenger","5103870","2020-2024","va","Warren County","Dr. Chris L. Ballenger"
"chris clark","3904846","2013-2022","oh","Black River Local","Chris A. Clark","1736640","2019-2023","il","South Fork Sd 14","Mr. Chris E Clark"
"chris smith","4008610","2016-2024","ok","Copan","Chris Smith","4811610","2018-2024","tx","Brownfield Isd","Christopher Smith"
"christine anderson","629550","2009-2013","ca","Palm Springs Unified","Christine Anderson","5515090","2018-2023","wi","Twin Lakes #4 School District","Christine Anderson"
"christine barnes","2610410","2015","mi","Colon","Christine Barnes","1915630","2017-2020","ia","Keokuk Comm School District","Christine Barnes"
"christopher brown","3630630","2010-2018","ny","West Genesee Csd","Dr. Christopher R Brown","607440","2021-2022","ca","Capistrano Unified","Christopher Brown"
"christopher brown","3904738","2007-2014","oh","Southwest Local","Christopher R. Brown","3630630","2010-2018","ny","West Genesee Csd","Dr. Christopher R Brown"
"christopher brown","3904738","2007-2014","oh","Southwest Local","Christopher R. Brown","607440","2021-2022","ca","Capistrano Unified","Christopher Brown"
"cleveland hammonds","2929280","2003","mo","St. Louis City","CLEVELAND HAMMONDS","1740200","2007-2008","il","Venice Cusd 3","Cleveland Hammonds"
"colleen murray","900240","2016-2021","ct","Bethany School District","ms. colleen murray","3409180","2023-2024","nj","Lumberton Twp","Colleen Murray"
"connie hathorn","3904516","2010-2013","oh","Youngstown City Schools","Connie G. Hathorn","513930","2014, 2016","ar","Watson Chapel School District","HATHORN, CONNIE G."
"corey seymour","4839300","2016-2017","tx","Santa Gertrudis Isd","Corey Seymour","1907590","2023-2024","ia","Clear Creek Amana Comm School District","Dr. Corey Seymour"
"craig artist","1930750","2004-2010","ia","West Branch Comm School District","Craig Artist","2629250","2011-2012, 2014-2015","mi","Quincy","Craig Artist"
"craig fiegel","2628560","2008","mi","Plymouth-Canton","Craig Fiegel","1724940","2012-2014, 2017-2022","il","Mascoutah Cud 19","Dr. Craig A Fiegel"
"creg williams","2929280","2005-2006","mo","St. Louis City","CREG WILLIAMS","1738940","2006-2014, 2017","il","Thornton Fractional Twp Hsd 215","DR CREG E WILLIAMS"
"crystal edwards","3408400","2012-2017","nj","Lawrence Township Public Schools","Crystal Edwards","5102340","2018-2024","va","Lynchburg ","Dr. Crystal Edwards"
"cuneyt akdemir","500074","2010","ar","Lisa Academy Charter","AKDEMIR, CUNEYT","4800241","2014-2015","tx","Harmony Science Academy (Austin)","Cuneyt Akdemir"
"curt rheingans","1711220","2017-2020","il","Creston Ccsd 161","Mr. Curtis Rheingans","1910980","2023-2024","ia","English Valleys Comm School District","Curt  Rheingans"
"curt rheingans","1711220","2017-2020","il","Creston Ccsd 161","Mr. Curtis Rheingans","1914850","2023-2024","ia","Iowa Valley Comm School District","Curt  Rheingans"
"dale ellis","620760","2008-2011","ca","Lakeside Union Elementary","Dale Ellis","3703060","2010-2022","nc","Montgomery County Schools","Dale Ellis"
"dale greimann","1910110","2004-2006","ia","East Buchanan Comm School District","Dale Greimann","1716050","2007-2012","il","Galena Usd 120","Dr Dale Greimann"
"dale martin","1712540","2003-2007","il","Downers Grove Grade Sch Dist 58","DR DALE F MARTIN ","2610140","2008","mi","Coldwater","Dale Martin"
"dale martin","1712540","2003-2007","il","Downers Grove Grade Sch Dist 58","DR DALE F MARTIN ","3100119","2012-2019","ne","Nebraska Unified District 1","DALE MARTIN"
"dale martin","1712540","2003-2007","il","Downers Grove Grade Sch Dist 58","DR DALE F MARTIN ","3100141","2022-2024","ne","Emerson-Hubbard Public Schools","Dale Martin"
"dale martin","1712540","2003-2007","il","Downers Grove Grade Sch Dist 58","DR DALE F MARTIN ","3100189","2020","ne","Summerland Public Schools","Dale Martin"
"dale martin","2610140","2008","mi","Coldwater","Dale Martin","3100119","2012-2019","ne","Nebraska Unified District 1","DALE MARTIN"
"dale martin","2610140","2008","mi","Coldwater","Dale Martin","3100141","2022-2024","ne","Emerson-Hubbard Public Schools","Dale Martin"
"dale martin","2610140","2008","mi","Coldwater","Dale Martin","3100189","2020","ne","Summerland Public Schools","Dale Martin"
"dale mitchell","1719530","2004-2014, 2017-2020","il","Homewood School District 153","DR DALE E MITCHELL ","613530","2008-2012","ca","Fallbrook Union High","Dale Mitchell"
"dale slagle","2904020","2003-2009","mo","Aurora R-Viii","DALE SLAGLE","2006300","2009-2012","ks","Frontenac Public Schools","Slagle, Dale"
"dan cox","1907080","2013-2017","ia","Charles City","Daniel Cox","1734320","2019-2023","il","Rochester Cusd 3a","Mr. Dan W Cox"
"dan cox","1907080","2013-2017","ia","Charles City","Daniel Cox","1737590","2014, 2017-2018","il","Staunton Cusd 6","Mr. Dan W Cox"
"dan moore","1900026","2009-2019","ia","South O'brien Comm School District","Dan Moore","3700690","2015","nc","Catawba County Schools","Dan Moore"
"dana bedden","1304380","2007-2009","ga","Richmond County","BEDDEN, DANA T","4203960","2018-2019","pa","Boyertown Area SD","DANA BEDDEN"
"dana bedden","1304380","2007-2009","ga","Richmond County","BEDDEN, DANA T","4205190","2020-2024","pa","Centennial SD","Dana Bedden"
"dana bedden","1304380","2007-2009","ga","Richmond County","BEDDEN, DANA T","4824420","2010-2012","tx","Irving Isd","Dana Bedden"
"dana bedden","1304380","2007-2009","ga","Richmond County","BEDDEN, DANA T","5103240","2013-2016","va","Richmond ","Dr. Dana Bedden"
"dana bedden","4824420","2010-2012","tx","Irving Isd","Dana Bedden","4203960","2018-2019","pa","Boyertown Area SD","DANA BEDDEN"
"dana bedden","4824420","2010-2012","tx","Irving Isd","Dana Bedden","4205190","2020-2024","pa","Centennial SD","Dana Bedden"
"dana bedden","4824420","2010-2012","tx","Irving Isd","Dana Bedden","5103240","2013-2016","va","Richmond ","Dr. Dana Bedden"
"dana bedden","5103240","2013-2016","va","Richmond ","Dr. Dana Bedden","4203960","2018-2019","pa","Boyertown Area SD","DANA BEDDEN"
"dana bedden","5103240","2013-2016","va","Richmond ","Dr. Dana Bedden","4205190","2020-2024","pa","Centennial SD","Dana Bedden"
"daniel brenner","3625050","2010-2014","ny","Roslyn Ufsd","Dr. Daniel Brenner","901050","2015-2017","ct","Darien School District","mr. daniel brenner"
"daniel gallagher","3402100","2014-2017, 2019-2022","nj","Bound Brook School District","Daniel Gallagher","4827720","2017-2022","tx","Little Elm Isd","Daniel Gallagher"
"daniel george","3627660","2010-2012","ny","Southwestern Csd At Jamestown","Mr. Daniel A George","2600207","2011-2012, 2014-2015","mi","Creative Technologies Academy","Daniel George"
"daniel johnson","2920820","2018-2024","mo","Miami R-I","DANIEL JOHNSON","1732910","2019-2020","il","Proviso Twp Hsd 209","Mr. Daniel Johnson"
"daniel johnson","2920820","2018-2024","mo","Miami R-I","DANIEL JOHNSON","3402520","2019-2024","nj","Butler Boro","Daniel Johnson"
"daniel johnson","2920820","2018-2024","mo","Miami R-I","DANIEL JOHNSON","4800072","2021-2024","tx","Nova Academy","Daniel Johnson"
"daniel johnson","2920820","2018-2024","mo","Miami R-I","DANIEL JOHNSON","4800201","2021-2024","tx","Nova Academy Southeast","Daniel Johnson"
"daniel johnson","3402520","2019-2024","nj","Butler Boro","Daniel Johnson","4800072","2021-2024","tx","Nova Academy","Daniel Johnson"
"daniel johnson","3402520","2019-2024","nj","Butler Boro","Daniel Johnson","4800201","2021-2024","tx","Nova Academy Southeast","Daniel Johnson"
"daniel lukich","1730420","2008-2009","il","Palatine Ccsd 15","Dr Daniel W Lukich","5102160","2011-2012","va","Lancaster County","Dr. Daniel Lukich"
"daniel lukich","3910016","2005-2006","oh","Orange City","Daniel W. Lukich","1730420","2008-2009","il","Palatine Ccsd 15","Dr Daniel W Lukich"
"daniel lukich","3910016","2005-2006","oh","Orange City","Daniel W. Lukich","5102160","2011-2012","va","Lancaster County","Dr. Daniel Lukich"
"daniel nelson","1808070","2016-2024","in","North Vermillion Com Sch Corp","Daniel Nelson","626130","2018-2020","ca","Mountain House Elementary","Daniel Nelson"
"daniel nerad","5508520","2008-2011","wi","Madison Metropolitan School District","Daniel Nerad","2605850","2012, 2014-2015","mi","Birmingham","Daniel Nerad"
"daniel roberts","3910010","2005-2011","oh","Miami Trace Local","Daniel W. Roberts","2906480","2012-2013","mo","Calhoun R-Viii","DANIEL ROBERTS"
"daniel smith","1906510","2004-2005","ia","Cedar Falls Comm School District","Daniel H Smith","5102250","2023","va","Loudoun County Public Schools","Daniel W Smith"
"danielle davis","5500046","2013","wi","Ymca Young Leaders Academy Agency","Danielle Davis","3904863","2022-2023","oh","Newton Local","Danielle L. Davis"
"darin powell","2905660","2012-2014","mo","Bowling Green R-I","DARIN POWELL","1701387","2022-2023","il","Western Cusd 12","Mr. Darin Powell"
"darrell floyd","4010920","2014-2023","ok","Enid","Darrell Floyd","4810590","2023-2024","tx","Blue Ridge Isd","Darrell Floyd"
"darrell smith","514430","2007","ar","Wynne School District","SMITH, DARRELL","1917820","2011","ia","Louisa-Muscatine","Darrell Smith"
"darrell smith","514430","2007","ar","Wynne School District","SMITH, DARRELL","1926580","2009","ia","Solon Comm School District","Darrell Smith"
"darrell smith","514430","2007","ar","Wynne School District","SMITH, DARRELL","1930720","2008","ia","West Bend-Mallard","Darrell Smith"
