name,year1,state1,leaid1,leaid_name1,year2,state2,leaid2,leaid_name2,year3,state3,leaid3,leaid_name3,prediction,confidence,reasoning,evidence_urls,critic_score,critic_grade
gary mathews,2002-2004,tx,4813020,Carroll Isd,2010-2012,ga,1303930,Newton County,,,,,same,high,"I have found definitive evidence that Gary Mathews who served as superintendent at Carroll ISD (TX) from 2002-2004 is the SAME person as Gary Mathews who served as superintendent at Newton County (GA) from 2010-2012. 

Key evidence includes:

1. **Personal Resume (Tier 1)**: Gary S. Mathews' own brief resume from 2011 explicitly shows his career trajectory:
   - 2002-2005: Superintendent, Carroll I.S.D., Grapevine, TX 
   - 2005-2010: Superintendent, Williamsburg-James City County Public Schools, VA
   - 2010-Present: Superintendent, Newton County School System, Covington, GA

2. **Official District Documentation (Tier 2)**: Newton County Schools' Executive Summary document confirms ""Dr. Gary Mathews, who guided the district from 2010-2013""

3. **Local News Coverage (Tier 2)**: The Covington News article explicitly states ""Mathews was formerly superintendent at the Carroll Independent School District in Grapevine, Texas, from 2002-2005""

4. **Career Timeline Consistency**: The progression is logical and documented - Carroll ISD → Williamsburg-James City County → Newton County, with no overlapping tenures.

All sources consistently refer to the same person (Gary S. Mathews/Dr. Gary Mathews) with the exact same career timeline that perfectly matches both position records. This represents a clear career progression across multiple districts, which is common for experienced superintendents.","https://thelensnola.org/wp-content/uploads/2011/05/BRIEF-RESUME1.pdf, https://www.covnews.com/news/education/boe-chooses-new-superintendent/, https://cdnsm5-ss14.sharpschool.com/UserFiles/Servers/Server_72179/File/About%20Us/Accountability/AdvancED%20Accreditation/Newton%20County%20School%20System%20Executive%20Summary.pdf",20,CONFIRMED
gary mathews,2002-2004,tx,4813020,Carroll Isd,2003,mo,2926850,Rockwood R-Vi,,,,,same,high,"I have found definitive evidence that Gary Mathews and GARY MATHEWS are the same person. The evidence shows a clear career progression from Rockwood R-VI School District in Missouri to Carroll ISD in Texas.

Key findings:
1. Gary Mathews' own resume (PDF from 2011) explicitly states his career timeline:
   - 2002-2005: Superintendent, Carroll I.S.D., Grapevine, TX
   - 2001-2002: Superintendent, Rockwood School District, Eureka, MO

2. The Covington News article confirms this timeline, stating: ""Mathews was formerly superintendent at the Carroll Independent School District in Grapevine, Texas, from 2002-2005; superintendent at the Rockwood School District in Eureka, Mo., from 2001 to 2002""

3. The timeline is logical - he moved from Missouri to Texas in 2002, which aligns with the records showing Carroll ISD (2002-2004) following Rockwood R-VI (2003).

There is a slight discrepancy in the Rockwood dates (resume shows 2001-2002 vs record showing 2003), but this is likely due to different recording methods or transitional periods. The overwhelming evidence from multiple independent sources confirms this is the same person who moved between districts.","https://thelensnola.org/wp-content/uploads/2011/05/BRIEF-RESUME1.pdf, https://www.covnews.com/news/education/boe-chooses-new-superintendent/",19,CONFIRMED
geoffrey gordon,2010-2011,ny,3623580,Port Washington Ufsd,2019,nj,3413980,Riverdale Boro,,,,,same,high,"I have found conclusive evidence that Dr. Geoffrey N. Gordon at Port Washington UFSD (NY) in 2010-2011 and Geoffrey Gordon at Riverdale Boro (NJ) in 2019 are the same person. 

**Key Evidence (Tier 1):**
1. **NY Senate Resolution (2011)**: Honors ""Dr. Geoffrey N. Gordon upon the occasion of his retirement after 10 years of distinguished service as Superintendent of Schools in Port Washington, Long Island"" - confirms his tenure includes 2010-2011.

2. **Virginia Magazine Class Notes**: States ""Geoffrey N. Gordon (Col '68 L/M) has been named interim superintendent of schools in Riverdale, New Jersey. Gordon begins his 25th year as a superintendent of schools"" - directly connects the same person to Riverdale.

3. **North Jersey News Article (2019)**: Explicitly states: ""Before arriving in Riverdale, Gordon served as superintendent in Tenafly... He was also a high school principal and superintendent in New Providence, **the superintendent in Port Washington, New York**, and an interim superintendent in Alpine.""

**Supporting Evidence (Tier 2):**
- Multiple Riverdale Board of Education meeting minutes from 2018-2019 show ""Dr. Geoffrey Gordon, Interim Superintendent""
- Newsday article confirms Dr. Geoffrey N. Gordon was Superintendent at Port Washington during the relevant timeframe
- Schreiber Times (2012) shows Dr. Gordon retiring from Port Washington and looking for opportunities in ""school districts in five states""

The evidence shows a clear career progression: Dr. Geoffrey N. Gordon served 10 years at Port Washington (2002-2012), then became interim superintendent at Riverdale in 2018-2019. The full name ""Geoffrey N. Gordon"" is consistently used across both positions, with the ""Dr."" title and middle initial ""N"" appearing in both contexts.","https://legislation.nysenate.gov/pdf/bills/2011/J5398, https://classnotes.uvamagazine.org/person/19137/, https://www.northjersey.com/story/news/morris/riverdale/2019/03/26/riverdale-school-superintendent-placed-administrative-leave/3280070002/, https://www.newsday.com/long-island/education/superintendent-geoffrey-n-gordon-honored-o50856, https://theschreibertimes.com/2012/05/23/superintendent-dr-geoffrey-gordon-plans-to-retire-in-july/, https://cdnsm5-ss20.sharpschool.com/UserFiles/Servers/Server_441589/File/Administration/BOE/Minutes/2019%20Board%20of%20Education%20Meeting%20Minutes/minutes_1-23-19_0.pdf",20,CONFIRMED
geoffrey gordon,2010-2011,ny,3623580,Port Washington Ufsd,2017,nj,3416110,Tenafly Public School District,,,,,same,high,"I found definitive evidence that Dr. Geoffrey N Gordon (Port Washington UFSD, 2010-2011) and Geoffrey Gordon (Tenafly Public School District, 2017) are the same person. Multiple Tier 1 sources explicitly connect these positions:

1. North Jersey news article (2017) states Geoffrey Gordon ""also served as superintendent for 10 years in Port Washington, N.Y."" when announcing his Tenafly appointment
2. NY Senate Resolution (2011) honors Dr. Geoffrey N. Gordon for his 10-year service in Port Washington
3. Student newspaper confirms Dr. Gordon's 2012 retirement from Port Washington after 10 years

The career progression is clear: Gordon served as superintendent in Port Washington for 10 years (covering 2010-2011), retired in 2012, then took interim superintendent positions including Tenafly in 2017. The name variation (with/without ""Dr."" and middle initial) is common for the same person in different contexts. Timeline is perfectly consistent with a retired educator serving in interim roles.","https://www.northjersey.com/story/news/2017/05/24/tenafly-hires-interim-superintendent-northern-valley-regional-schools/342509001/, https://legislation.nysenate.gov/pdf/bills/2011/J5398, https://theschreibertimes.com/2012/05/23/superintendent-dr-geoffrey-gordon-plans-to-retire-in-july/",18,CONFIRMED
george steffen,2003,il,1732520,Prairie Grove C Sch Dist 46,2008-2014,wi,5500052,Trevor-Wilmot Consolidated School District,,,,,same,high,"I have found definitive evidence that DR GEORGE F STEFFEN and George Steffen are the same person who served as superintendent at both districts. The evidence includes:

1. **WASB Consultant Profile (Tier 1)**: George Steffen's professional profile explicitly states he ""served as assistant superintendent and then as superintendent for 29 consecutive years at Amboy (IL), Prairie Grove (IL), Trevor and Trevor-Wilmot (WI)."" This directly connects both positions to the same individual.

2. **Chicago Tribune Article (Tier 2)**: A 2003 Chicago Tribune article quotes ""George Steffen, superintendent, Prairie Grove School District 46"" confirming his role at the Illinois district in the correct timeframe.

3. **Kenosha News Article (Tier 2)**: A 2015 Kenosha News article refers to ""retiring Trevor-Wilmot School Superintendent George Steffen"" confirming his tenure at the Wisconsin district.

4. **Career Progression Evidence**: Multiple sources show Steffen moved from Illinois to Wisconsin, first serving as administrator of Trevor School District, then becoming district administrator of the consolidated Trevor-Wilmot district when it formed in 2006.

5. **Name Consistency**: All sources consistently use ""George Steffen"" with the ""Dr."" title appearing in formal contexts, confirming the name variations refer to the same person.

The timeline is perfectly plausible: Prairie Grove (2003) → Trevor School District → Trevor-Wilmot Consolidated (2006-2014/2015) → retirement → consultant work. This represents a typical superintendent career progression across state lines.","https://wasb.org/customized-leadership-services/contact-consultants/, https://www.chicagotribune.com/2003/08/06/choice-locations-2/, https://kenoshanews.com/news/three-finalists-named-for-trevor-wilmot-superintendent/article_47b6034c-4b85-5551-9a38-aaf820fa6a75.html, https://docs.legis.wisconsin.gov/misc/lc/study/2022/2405/020_august_22_2022_10_00_a_m_room_412_east_state_capitol/aug22min_ssds",18,CONFIRMED
gerald hill,2004-2011,il,1716920,Glenview C C School Dist 34,"2012, 2014",mi,2635820,West Bloomfield,,,,,same,high,"I found definitive evidence that DR GERALD D HILL and Gerald Hill are the same person who moved between districts. The evidence includes:

1. **Career Transition Documentation**: West Bloomfield's 2021 retirement announcement explicitly states Dr. Gerald D. Hill ""spent sixteen years as the superintendent of Community Consolidated School District 146 and Glenview School District 34, both in suburban Chicago"" before being named superintendent of West Bloomfield effective July 2012.

2. **Contemporary News Coverage**: Multiple 2011-2012 Patch.com articles document Gerald Hill's transition from Glenview District 34 to West Bloomfield, noting his 8-year tenure at Glenview (2004-2011) and his start date of July 2012 at West Bloomfield.

3. **Timeline Consistency**: The records show a logical progression - Glenview (2004-2011) followed by West Bloomfield (2012, 2014) with a normal gap between positions.

4. **Name Verification**: Both records refer to the same person - ""DR GERALD D HILL"" in the first record and ""Gerald Hill"" in the second, representing different formatting of the same full name.

The evidence represents Tier 1 sources (official district documents and contemporary news coverage) that explicitly connect both positions, leaving no doubt these are the same individual.","https://www.wbsd.org/uploaded/West_Bloomfield_School_District_Superintendent_Dr._Gerald_Hill_announces_his_retirement_.pdf?1637680818580, https://patch.com/illinois/glenview/d34-superintendent-offered-a-job-in-michigan, https://patch.com/illinois/glenview/d34-supt-shares-reasons-for-glenview-departure, https://patch.com/michigan/westbloomfield/west-bloomfield-superintendent-gerald-hill",20,CONFIRMED
greg rasmussen,2009-2011,oh,3904440,Middletown City,2013-2016,ks,2003360,Andover,,,,,same,high,"I found definitive evidence that Greg K. Rasmussen (Middletown City, OH, 2009-2011) and Rasmussen, Greg (Andover, KS, 2013-2016) are the same person.

Key evidence found:
1. Tier 1 evidence: Dayton Daily News article (2013) explicitly documents Greg Rasmussen's transition from Middletown City Schools superintendent to Andover Public Schools superintendent. The article states he was ""leaving Middletown for Kansas job"" and had been superintendent of Middletown since April 2010.

2. Tier 2 evidence: Multiple news sources confirm:
   - Greg Rasmussen served as Middletown superintendent from 2009-2013
   - He became Andover superintendent in July 2013
   - He served in Andover until his retirement in 2017
   - The timeline perfectly matches the records: Position 1 (2009-2011) and Position 2 (2013-2016)

3. Additional context: The articles reveal Rasmussen had previous connections to Kansas/Andover area, having worked there for nine years before going to Ohio, which explains the career move back to Kansas.

The evidence clearly shows a career progression of the same individual moving from Ohio to Kansas, with no conflicting information found.","https://www.daytondailynews.com/news/superintendent-leaving-middletown-for-kansas-job/XBquinJnqgjz014TUN1YvN/, https://www.kwch.com/content/news/Andover-Schools-superintendent-announces-retirement-406372165.html, https://www.daytondailynews.com/news/local/schools-leader-looks-big-picture/potiHRgAShWxRHA8Oa7ZxL/",19,CONFIRMED
gregory thornton,2008-2009,pa,4205860,Chester-Upland SD,2010-2013,wi,5509600,Milwaukee School District,,,,,same,high,"Multiple Tier 1 sources explicitly connect Gregory Thornton's career from Chester-Upland School District (2008-2009) to Milwaukee Public Schools (2010-2013). The Philadelphia Inquirer (2009) reports him as superintendent of Chester-Upland when becoming a Milwaukee finalist, WUWM (2014) confirms he served at Chester-Upland before Milwaukee, and Delco Times (2010) documents his election by Milwaukee's board. The timeline shows a realistic 6-month transition period, and multiple 2024 obituaries confirm this career progression. This represents a clear case of the same person advancing to a larger district.","https://www.inquirer.com/philly/news/local/20091219_Chester_superintendent_is_candidate_for_Milwaukee_post.html, https://www.wuwm.com/education/2014-02-17/mps-superintendent-thornton-leaving-for-job-in-baltimore, https://www.delcotimes.com/2010/01/26/editorial-as-thornton-departs-progress-must-remain/, https://www.jsonline.com/story/news/education/2024/12/01/former-milwaukee-schools-superintendent-gregory-thornton-dies-at-69/76661307007/",19,CONFIRMED
gregory wright,2003-2010,tx,4822170,Hallsville Isd,2011-2013,pa,4204200,School District,,,,,same,high,"I found strong evidence connecting Gregory Wright's superintendent positions at Hallsville ISD (TX, 2003-2010) and Bristol Borough School District (PA, 2011-2013). The evidence shows a clear career progression: Wright resigned from Hallsville ISD in April 2011 with his employment ending June 30, 2011, then started as superintendent at Bristol Borough on August 1, 2011. Multiple news articles document this transition, confirming it's the same person moving between districts. All sources consistently refer to him as ""Gregory Wright"" with no conflicting first names. While I found another Gregory Wright who was superintendent in Illinois, the timeline and career details clearly distinguish the individuals. The evidence includes Tier 1 sources (news articles covering the specific transition) and Tier 2 sources (multiple independent confirmations of the timeline), with no conflicting evidence.","https://marshallnewsmessenger.com/2011/04/28/wright-resigns-as-hisd-superintendent/, https://www.buckscountycouriertimes.com/story/news/2011/08/15/new-boss-in-bristol-borough/17878589007/, https://marshallnewsmessenger.com/2010/06/04/hallsvilles-greg-wright-named-region-7-superintendent-of-the-year/, https://www.buckscountycouriertimes.com/story/news/2011/08/08/new-superintendent-takes-over-in/17898808007/",18,CONFIRMED
grenita lathan,2009-2013,il,1731230,Peoria Sd 150,2023-2024,mo,2928860,Springfield R-Xii,,,,,same,high,"I have overwhelming evidence that Dr. Grenita F Lathan (Peoria SD 150, IL, 2009-2013) and GRENITA LATHAN (Springfield R-XII, MO, 2023-2024) are the same person. 

**Career Timeline Confirmed:**
- Peoria SD 150 (IL): Superintendent circa 2010-2015 (matches Position 1: 2009-2013)
- Houston ISD (TX): Chief School Officer (2015), Chief Academic Officer (2016-2018), Interim Superintendent (2018-2021)
- Springfield R-XII (MO): Superintendent starting July 2021 (matches Position 2: 2023-2024)

**Tier 1 Evidence (Definitive):**
1. Springfield R-XII official website shows Dr. Grenita Lathan as current superintendent with contract extension through 2028-2029
2. Multiple independent news sources document her complete career progression from Illinois → Texas → Missouri
3. Wikipedia entries for both districts confirm her tenure at each position

**Tier 2 Evidence (Strong):**
1. Extensive news coverage of her 2015 resignation from Peoria SD 150
2. Multiple articles about her service as Houston ISD interim superintendent (2018-2021)
3. News coverage of her hiring by Springfield R-XII in 2021

The name ""Grenita Lathan"" is uncommon enough that this is clearly the same individual. Her career path shows a logical progression between the documented positions, with no conflicting evidence found. All sources consistently refer to the same person with the same educational background and professional credentials.","https://www.sps.org/about/administration, https://en.wikipedia.org/wiki/Peoria_Public_Schools, https://en.wikipedia.org/wiki/Springfield_Public_Schools_(Missouri), https://www.wcbu.org/peoria-public-radio-news/2015-06-30/district-150-superintendent-grenita-lathan-to-resign, https://www.news-leader.com/story/news/education/2021/03/09/10-things-know-new-springfield-public-schools-superintendent-grenita-lathan-education/4633660001/, https://toeducateallchildren.org/2020/09/teach-talks-grenita-lathan/",18,CONFIRMED
grenita lathan,2009-2013,il,1731230,Peoria Sd 150,2018-2020,tx,4823640,Houston Isd,,,,,same,high,"I have found definitive evidence that Dr. Grenita F Lathan and Grenita Lathan are the same person who served as superintendent at both districts. The evidence includes:

**Tier 1 Evidence (Definitive):**
- Peoria Journal Star article (March 2018) explicitly states: ""Former Peoria Public Schools Superintendent Grenita Lathan... has been named the interim superintendent for Texas' largest school district, the Houston Independent School District.""
- Rotary Club of Houston provides complete career timeline showing continuous progression from Peoria to Houston

**Career Timeline Verification:**
- Named superintendent of Peoria Public Schools in 2010 (aligns with 2009-2013 record)
- Resigned from Peoria in 2015 after 5 years of service
- Moved to Houston ISD in 2015 as chief school officer
- Named interim superintendent of Houston ISD in March 2018 (aligns with 2018-2020 record)

**Multiple Independent Sources:**
- Houston Public Media, Patch.com, ABC13, and multiple other sources all confirm the same career trajectory
- All sources consistently identify her as Dr. Grenita Lathan with the same educational credentials

The name ""Grenita Lathan"" is uncommon, and I have found multiple high-quality sources that explicitly connect both positions. The timeline is perfectly plausible with a clear career progression from Peoria to Houston.","https://www.pjstar.com/story/news/education/2018/03/23/grenita-lathan-former-pps-superintendent/12924027007/, https://www.rotaryhouston.org/stories/dr-grenita-lathan, https://www.houstonpublicmedia.org/articles/news/2018/03/23/274821/hisd-trustees-tap-chief-academic-officer-grenita-lathan-as-acting-superintendent/, https://patch.com/texas/galleria-riveroaks/houston-isd-names-lathan-interim-superintendent",20,CONFIRMED
grenita lathan,2018-2020,tx,4823640,Houston Isd,2023-2024,mo,2928860,Springfield R-Xii,,,,,same,high,"I have overwhelming evidence that these superintendent records refer to the same person. My systematic search process revealed:

**Phase 1 - Background Research**: Identified official district domains (houstonisd.org for Houston ISD and sps.org for Springfield R-XII).

**Phase 2 - Direct Connection Search**: Found Dr. Grenita Lathan listed as superintendent on Springfield's official website and ""Grenita Lathan, Ph.D. Interim Superintendent"" in Houston ISD documents.

**Phase 3 - Individual Position Verification**: Multiple Tier 1 sources confirm:
- Dr. Grenita Lathan served as interim superintendent of Houston ISD from March 2018 to 2021
- She became superintendent of Springfield Public Schools starting July 1, 2021
- ABC13 explicitly states: ""Her new position in Missouri starts on July 1, 2021""
- News-Leader confirms she was hired as Springfield superintendent in 2021

**Name Verification**: Both districts show the identical full name ""Grenita Lathan"" (with ""Dr."" title), with no conflicting first names found.

**Connection Evidence**: Clear career progression with direct quotes confirming the move from Houston ISD to Springfield R-XII. The timeline perfectly aligns with the records - she completed her tenure at Houston ISD in 2021 and immediately began her role at Springfield R-XII.

The name ""Grenita Lathan"" is uncommon, and I found multiple independent, high-quality sources (official district websites, major news outlets) that explicitly connect both positions to the same individual.","https://www.sps.org/about/administration, https://abc13.com/post/dr-grenita-lathan-hisd-superintendent-leaving/10397252/, https://www.news-leader.com/story/news/education/2021/03/09/10-things-know-new-springfield-public-schools-superintendent-grenita-lathan-education/4633660001/, https://www.houstonisd.org/fs/resource-manager/view/d7a1fbbc-c817-400e-b7d0-1210309100b0",19,CONFIRMED
harry griffith,1990-1993,tx,4821150,Goose Creek Isd,2003-2011,il,1721750,Lake Forest School Dist 67,,,,,same,high,"I found definitive evidence that Harry Griffith and DR HARRY D GRIFFITH are the same person. The Chicago Tribune published a comprehensive article in 1994 documenting Harry Griffith's transition from Goose Creek ISD in Texas (where he served as superintendent since 1990) to Lake Forest District 67 in Illinois (starting July 1, 1994). Multiple sources confirm his tenure at Lake Forest through 2011, including contemporary news articles about district controversies and his retirement. The about.me professional profile also explicitly lists both superintendent positions in his career history. The name formats differ only by the inclusion of his title ""Dr."" and middle initial ""D"" in the Illinois records, which reflects his doctorate earned from the University of Texas in 1983. The timeline is perfectly consistent: Goose Creek ISD (1990-1994), transition period, then Lake Forest District 67 (1994-2011).","https://www.chicagotribune.com/1994/05/23/texan-becomes-new-chief-for-lake-forest-schools/, https://about.me/harrygriffith, https://www.chicagotribune.com/2012/11/25/ex-lake-forest-superintendents-fringe-benefits-questioned-3/, https://www.cbsnews.com/chicago/news/lake-forest-parents-want-supt-gone-after-sexting-principal-scandal/",19,CONFIRMED
harry griffith,1990-1993,tx,4821150,Goose Creek Isd,2004-2011,il,1721780,Lake Forest Comm H S District 115,,,,,same,high,"I have found definitive evidence that ""Harry Griffith"" (Goose Creek ISD, TX, 1990-1993) and ""DR HARRY D GRIFFITH"" (Lake Forest Comm H S District 115, IL, 2004-2011) are the SAME person.

Key evidence found:
1. **Chicago Tribune (1994)**: Explicitly documents Harry Griffith moving from Goose Creek CISD (superintendent since 1990) to become District 67's new superintendent in July 1994.

2. **About.me profile**: Harry Griffith states he ""worked as school superintendent for Lake Forest Districts 67 & 115 and as school superintendent for Goose Creek CISD in Baytown, Texas.""

3. **Multiple 2011-2012 sources**: Confirm Harry Griffith was superintendent of both Lake Forest Districts 67 & 115 until his retirement in June 2012.

4. **Career timeline verification**: 
   - Goose Creek CISD: 1990-1993 (matches Position 1)
   - Moved to Lake Forest District 67: July 1994
   - Added District 115 leadership: 2004 (matches Position 2 start)
   - Retired: June 2012 (matches Position 2 end)

The name variation (""Harry Griffith"" vs ""DR HARRY D GRIFFITH"") is explained by his earning a doctorate and using the formal title in later years. This is the same person with a documented career progression from Texas to Illinois.","https://about.me/harrygriffith, https://www.chicagotribune.com/1994/05/23/texan-becomes-new-chief-for-lake-forest-schools/, https://patch.com/illinois/lakeforest/what-is-fair-compensation-and-best-way-to-pick-new-school-superintendent_783eae8b, https://www.chicagotribune.com/2012/11/25/ex-lake-forest-superintendents-fringe-benefits-questioned-3/",20,CONFIRMED
heath morrison,2012-2013,nc,3702970,Charlotte-Mecklenburg Schools,2020-2022,tx,4831260,Montgomery Isd,,,,,same,high,"I have found definitive evidence that Heath Morrison at Charlotte-Mecklenburg Schools (NC) in 2012-2013 and Heath Morrison at Montgomery ISD (TX) in 2020-2022 are the same person. The evidence shows a clear career progression:

**Tier 1 Evidence (Definitive):**
- Charlotte-Mecklenburg Schools official website confirms Dr. Heath E. Morrison served from July 2012 to November 2014
- Montgomery ISD board documents confirm Dr. Heath Morrison was officially named superintendent in July 2020
- Houston Public Media (2023) confirms Morrison left Montgomery ISD to become CEO of Teachers of Tomorrow

**Tier 2 Evidence (Strong):**
- Charlotte Magazine article details Morrison's tenure at CMS, confirming he came from Washoe County (Reno) in 2012
- EdSurge profile lists the complete career progression including Washoe County, Charlotte-Mecklenburg, and Montgomery ISD
- About.me page explicitly states ""Heath Morrison, a superintendent from Charlotte, NC, is the superintendent of Montgomery ISD in Montgomery, TX""

**Timeline:**
- 2012: Named National Superintendent of the Year (for work in Washoe County, Nevada)
- July 2012 - November 2014: Charlotte-Mecklenburg Schools, NC
- 2014-2020: President of McGraw-Hill School Group (private sector)
- 2020-2022: Montgomery ISD, TX
- 2023: Left Montgomery ISD to become CEO of Teachers of Tomorrow

The evidence is consistent across multiple independent sources and shows a documented career path across these districts and sectors.","https://www.cmsk12.org/about/history-of-cms, https://madeleyranches.misd.org/UserFiles/Servers/Server_70144833/File/About%20MISD/Board%20Of%20Trustees/Board%20Briefs/7-21-20BoardBrief.pdf, https://www.charlottemagazine.com/heath-morrisons-hard-charge/, https://www.edsurge.com/writers/heath-morrison, https://about.me/heathmorrisonsuperintendent, https://www.houstonpublicmedia.org/articles/news/2023/09/05/461422/how-a-former-houston-area-superintendent-hopes-to-end-the-teacher-shortage/",19,CONFIRMED
henry eggert,2004,ia,1914670,Interstate 35 Comm School District,2023-2024,ne,3172480,Keya Paha County Schools,,,,,same,high,"I have found definitive evidence that Henry Eggert held both superintendent positions as part of a single career trajectory. The evidence includes:

**Tier 1 Sources Confirmed:**
1. **Iowa Department of Education (2003-04)**: Official directory lists Henry Eggert as superintendent of Interstate 35 Community School District with email heggert@i-35.k12.ia.us and phone 641-765-4291
2. **Keya Paha County Schools Staff Page (2023-24)**: Current listing shows Henry Eggert as superintendent with phone 402-497-3501 ext. 102
3. **Nebraska Legislature Testimony (2009)**: Henry Eggert testified as superintendent of Thedford Public Schools, showing career progression in the region
4. **Address Records**: Henry L Eggert has addresses in both New Virginia, IA (301 North St - a community served by Interstate 35) and Thedford, NE (84560 US Highway 83)

**Career Timeline Analysis:**
- 2004: Superintendent at Interstate 35 Comm School District (Iowa)
- 2009: Superintendent at Thedford Public Schools (Nebraska) 
- 2023-24: Superintendent at Keya Paha County Schools (Nebraska)

This represents a plausible 20-year career progression in rural education across neighboring states. The name ""Henry Eggert"" is uncommon, and I found consistent evidence of the same individual moving through rural school districts in Iowa and Nebraska. No conflicting evidence was discovered, and all sources point to the same person with a documented career in K-12 education administration.","https://www.keyapahacountyschools.org/staff, https://educate.iowa.gov/media/1942/download?inline, http://www.nebraskalegislature.gov/FloorDocs/101/PDF/Transcripts/Education/2009-02-02.pdf, https://radaris.com/p/Henry/Eggert/",19,CONFIRMED
henry eggert,2004,ia,1914670,Interstate 35 Comm School District,2006-2016,ne,3177730,Thedford Public Schools,,,,,same,high,"I have strong evidence that both superintendent records refer to the same person. Here's my analysis:

**Evidence Found:**

**Position 1 - Interstate 35 Comm School District (IA), 2004:**
- Tier 1 evidence: Iowa Public School District Directory (2003-04) shows Henry Eggert as superintendent at Interstate 35 Comm School District with email heggert@i-35.k12.ia.us

**Position 2 - Thedford Public Schools (NE), 2006-2016:**
- Tier 1 evidence: Nebraska Legislature transcript from 2009 where Henry Eggert explicitly states ""My name is Henry Eggert. I am superintendent at Thedford Public Schools""
- Supporting evidence: NSAA Play Production documents from 2014, 2015, and 2016 list Henry Eggert as superintendent at Thedford Public Schools

**Timeline Analysis:**
The career progression is highly plausible - moving from Iowa in 2004 to Nebraska starting in 2006 (adjacent states) with a 2-year gap that's normal for superintendent transitions. The 2009 legislative testimony confirms he was still at Thedford well into his tenure.

**Name Analysis:**
""Henry Eggert"" is an uncommon name combination, reducing the likelihood of confusion between different individuals.

**Quality Gates Met:**
✓ Fetched primary source documents from both time periods
✓ Verified both district positions independently  
✓ No conflicting evidence found
✓ Timeline is geographically and chronologically plausible
✓ Confirmed full name matches at both districts

I have 2+ independent Tier 1 sources confirming both positions with no conflicting evidence, supporting high confidence that these are the same person who moved from Iowa to Nebraska.","https://educate.iowa.gov/media/1942/download?inline, http://www.nebraskalegislature.gov/FloorDocs/101/PDF/Transcripts/Education/2009-02-02.pdf, https://nsaahome.org/wp-content/uploads/2020/08/2016-Play-Production-FINAL.pdf",18,CONFIRMED
ian roberts,2020-2022,pa,4215330,Millcreek Township SD,2023-2024,ia,1908970,Des Moines Independent Comm School District,,,,,same,high,"I found overwhelming evidence that both records refer to the same person - Dr. Ian Roberts. The Des Moines district's official hiring announcement explicitly states he came from Millcreek Township School District in Pennsylvania, where he served as superintendent for three years. Multiple independent sources confirm this career progression: Millcreek history page shows ""Dr. Ian Roberts- 2020-2023"" and Des Moines contract shows his term began July 1, 2023. News articles, Wikipedia, and district documentation all consistently show the same person moving from Pennsylvania to Iowa. The timeline is plausible with only a one-month gap between positions. This represents a normal superintendent career progression between districts.","https://www.dmschools.org/news_release/announcing-our-new-superintendent-dr-ian-roberts/, https://www.mtsd.org/who-we-are/history, https://www.dmschools.org/wp-content/uploads/2023/05/Ian-Roberts-Superintendent-Contract.pdf, https://www.goerie.com/story/news/local/2025/10/06/ian-roberts-timeline-of-events/86547796007/, https://en.wikipedia.org/wiki/Ian_Roberts_(educator)",19,CONFIRMED
jake long,"2014, 2016-2021",ar,500043,Mountain Home School District,2024,mo,2915210,Howell Valley R-I,,,,,same,high,"I have found definitive evidence that both superintendent records refer to the same person - Dr. Jake Long. The evidence shows a clear career progression from Arkansas to Missouri:

**Tier 1 Evidence (Definitive):**
- KTLO News article (Feb 2023) explicitly states Dr. Jake Long resigned from Mountain Home School District and was hired by Howell Valley R-I School District, with his last day at Mountain Home being June 30 and starting at Howell Valley on July 1, 2023
- Howell Valley Student Handbook (2024-2025) lists ""SUPERINTENDENT ………………………………………… Dr. Jake Long"" in the staff section

**Tier 2 Evidence (Strong):**
- Multiple Mountain Home district website pages from 2021-2022 showing ""Dr. Jake Long, Superintendent"" 
- Baxter Bulletin article confirming Long's resignation from Mountain Home effective June 30, 2023
- West Plains Daily Quill article about Howell Valley hiring new superintendent to replace retiring Marvin Hatley on July 1, 2023

**Timeline Analysis:**
- Position 1: Mountain Home School District (AR), 2014, 2016-2021 ✓ Confirmed
- Transition: Resigned June 30, 2023; Started at Howell Valley July 1, 2023  
- Position 2: Howell Valley R-I (MO), 2024 ✓ Confirmed

The evidence clearly shows the same Dr. Jake Long moving from Arkansas to Missouri, with the timeline working perfectly. No conflicting evidence was found.","https://www.ktlo.com/2023/02/18/mh-superintendent-hired-by-howell-valley-school-district/, https://core-docs.s3.us-east-1.amazonaws.com/documents/asset/uploaded_file/2084/howellvalleysd/4807292/Student_handbook__2024-2025.pdf, https://highschool.mhbombers.com/o/mhhs/article/795119, https://www.mhbombers.com/o/mhjhs/article/540149, https://www.baxterbulletin.com/stories/board-accepts-longs-resignation,32059",19,CONFIRMED
